,id,title,arousal,energyLevel,energyDynamics,musicalEraTag,mood,moodTags,genre,genreTags,subgenre,,subgenreTags,bpmPrediction,bpmRangeAdjusted,keyPrediction
0,9531135,NYRA - TAKE MY HAND (CANOE 006).mp3,0.5287264542,high,medium,mid / late 1980s,"{'aggressive': 0.20454806089401245, 'calm': 0.07062340527772903, 'chilled': 0.2201792597770691, 'dark': 0.3304879665374756, 'energetic': 0.623363733291626, 'epic': 0.1737370491027832, 'happy': 0.30503207445144653, 'romantic': 0.09593910723924637, 'sad': 0.24457065761089325, 'scary': 0.1650703102350235, 'sexy': 0.2869879901409149, 'ethereal': 0.35949254035949707, 'uplifting': 0.5389081835746765}","['energetic', 'uplifting']","{'ambient': 0.044349139595093824, 'blues': 0.025141899027706433, 'classical': 0.008601481056151291, 'electronicDance': 0.696974391117692, 'folkCountry': 0.009035478675893197, 'funkSoul': 0.1317649104166776, 'jazz': 0.013158550408358375, 'latin': 0.01052192302692371, 'metal': 0.0071852597369191544, 'pop': 0.07054472140346964, 'rapHipHop': 0.025559847980427246, 'reggae': 0.014874071309653422, 'rnb': 0.03943942211723576, 'rock': 0.04448541308132311, 'singerSongwriter': 0.006262060371227562}",['electronicDance'],"{'abstractIDMLeftfield': 0.0838116294161732, 'breakbeatDnB': 0.06338941784117431, 'deepHouse': 0.40945948175935737, 'electro': 0.11032571394987885, 'house': 0.6016549386023995, 'minimal': 0.060435686048285496, 'synthPop': 0.07124259326543149, 'techHouse': 0.2501693115749907, 'techno': 0.1520334159534785, 'trance': 0.06586616116222896}",,['house'],"{'value': 130, 'confidence': 0.5693472469554228}",130,"{'value': 'gMinor', 'confidence': 0.14549410861471426}"
1,9531133,LOVEHRTZ - MUSIC MAKES ME HIGH (LVHRTZ 002).mp3,0.6062625342,high,medium,mid / late 1990s,"{'aggressive': 0.09690801799297333, 'calm': 0.04754181206226349, 'chilled': 0.3100144863128662, 'dark': 0.09821003675460815, 'energetic': 0.6715338230133057, 'epic': 0.10661641508340836, 'happy': 0.4651664197444916, 'romantic': 0.1195148453116417, 'sad': 0.14673493802547455, 'scary': 0.03619464114308357, 'sexy': 0.5007359385490417, 'ethereal': 0.3370841145515442, 'uplifting': 0.7219482064247131}","['energetic', 'sexy', 'uplifting']","{'ambient': 0.03987526455894112, 'blues': 0.007908843900077045, 'classical': 0.008319241227582097, 'electronicDance': 0.804075912758708, 'folkCountry': 0.0049143253127112985, 'funkSoul': 0.10244790203869343, 'jazz': 0.016458976455032824, 'latin': 0.014426323072984814, 'metal': 0.007612195634283126, 'pop': 0.05390789229422808, 'rapHipHop': 0.02316212859004736, 'reggae': 0.014209051011130213, 'rnb': 0.02411955250427127, 'rock': 0.032723150216042995, 'singerSongwriter': 0.005209365673363209}",['electronicDance'],"{'abstractIDMLeftfield': 0.039655759544715424, 'breakbeatDnB': 0.17843329596022764, 'deepHouse': 0.17443528980085696, 'electro': 0.0920267688213951, 'house': 0.44243212499552304, 'minimal': 0.046558939230938755, 'synthPop': 0.02324774664184251, 'techHouse': 0.2475385501532367, 'techno': 0.20384914446104732, 'trance': 0.22349665351901893}",,['house'],"{'value': 130, 'confidence': 0.8006892185585172}",130,"{'value': 'cMinor', 'confidence': 0.3091480420983356}"
2,9531136,NYRA - TRUST FOR YOU (CANOE 007).mp3,0.6716981374,high,low,early / mid 2000s,"{'aggressive': 0.19068443775177002, 'calm': 0.03323959559202194, 'chilled': 0.2819107472896576, 'dark': 0.20184564590454102, 'energetic': 0.7049376964569092, 'epic': 0.1508411020040512, 'happy': 0.2798093557357788, 'romantic': 0.09466826915740967, 'sad': 0.21446101367473602, 'scary': 0.08358201384544373, 'sexy': 0.5010039210319519, 'ethereal': 0.4907832741737366, 'uplifting': 0.7017258405685425}","['energetic', 'sexy', 'uplifting']","{'ambient': 0.05591162462674436, 'blues': 0.01153104186856321, 'classical': 0.008981312414453853, 'electronicDance': 0.8214889466762543, 'folkCountry': 0.0054115429077120055, 'funkSoul': 0.08063125947401636, 'jazz': 0.015212114057725384, 'latin': 0.014780628450569652, 'metal': 0.007922581108730464, 'pop': 0.0529385551455475, 'rapHipHop': 0.019024811773782686, 'reggae': 0.014486143365502357, 'rnb': 0.025075066745990797, 'rock': 0.04312541167296115, 'singerSongwriter': 0.005877849956353505}",['electronicDance'],"{'abstractIDMLeftfield': 0.05611803016758391, 'breakbeatDnB': 0.09094573174037837, 'deepHouse': 0.26409722099612865, 'electro': 0.17809401422605983, 'house': 0.4606773415580392, 'minimal': 0.03565122243890073, 'synthPop': 0.08367010926719688, 'techHouse': 0.19943658987592375, 'techno': 0.2959413138617362, 'trance': 0.04666316060216299}",,['house'],"{'value': 126, 'confidence': 0.875308407054228}",126,"{'value': 'fMajor', 'confidence': 0.41278331176094385}"
3,9531134,NYRA - ON _ ON (CANOE 006).mp3,0.7418134721,high,low,early / mid 2000s,"{'aggressive': 0.18308600783348083, 'calm': 0.01722285896539688, 'chilled': 0.18926073610782623, 'dark': 0.1116781085729599, 'energetic': 0.8172680139541626, 'epic': 0.17387428879737854, 'happy': 0.5135186910629272, 'romantic': 0.08178050816059113, 'sad': 0.1230681762099266, 'scary': 0.06162728741765022, 'sexy': 0.47185054421424866, 'ethereal': 0.29904982447624207, 'uplifting': 0.8101924657821655}","['energetic', 'happy', 'uplifting']","{'ambient': 0.040862906672474414, 'blues': 0.010483957025119, 'classical': 0.008403537122325765, 'electronicDance': 0.76709911134094, 'folkCountry': 0.005262221908196807, 'funkSoul': 0.13728461114482748, 'jazz': 0.020190799039685063, 'latin': 0.015105967306428485, 'metal': 0.006955978719310628, 'pop': 0.060057600339253746, 'rapHipHop': 0.019719136620147362, 'reggae': 0.009760233263174692, 'rnb': 0.027811522957765393, 'rock': 0.032103624712261886, 'singerSongwriter': 0.005329688726406958}",['electronicDance'],"{'abstractIDMLeftfield': 0.042629470223004055, 'breakbeatDnB': 0.0677712700808584, 'deepHouse': 0.13983155491272198, 'electro': 0.11274441077671561, 'house': 0.21933765161168023, 'minimal': 0.02906855242806919, 'synthPop': 0.04396756331330722, 'techHouse': 0.06820522258826292, 'techno': 0.6131671360242612, 'trance': 0.13172105545197257}",,['techno'],"{'value': 132, 'confidence': 0.908334530101103}",132,"{'value': 'fMinor', 'confidence': 0.6807857181714929}"
4,9531127,Janeret - Traveller.mp3,0.3081778739,medium,medium,contemporary,"{'aggressive': 0.06782156974077225, 'calm': 0.10706528276205063, 'chilled': 0.585250973701477, 'dark': 0.10696379095315933, 'energetic': 0.41607728600502014, 'epic': 0.04578872397542, 'happy': 0.41639402508735657, 'romantic': 0.2003069967031479, 'sad': 0.1697400063276291, 'scary': 0.037132397294044495, 'sexy': 0.6924926042556763, 'ethereal': 0.39605534076690674, 'uplifting': 0.647659957408905}","['chilled', 'sexy', 'uplifting']","{'ambient': 0.07430197118685164, 'blues': 0.0067162256655764994, 'classical': 0.01083002772567601, 'electronicDance': 0.8763395034033676, 'folkCountry': 0.005315945981520003, 'funkSoul': 0.020266800990392422, 'jazz': 0.011415410883210856, 'latin': 0.011166725725192448, 'metal': 0.0081880286271716, 'pop': 0.04039932915876652, 'rapHipHop': 0.016408166334289927, 'reggae': 0.009177841631502941, 'rnb': 0.013573629267770669, 'rock': 0.031357520677406214, 'singerSongwriter': 0.005846200751718776}",['electronicDance'],"{'abstractIDMLeftfield': 0.019345408795695556, 'breakbeatDnB': 0.028096893562561537, 'deepHouse': 0.6389386305879605, 'electro': 0.03939308218143292, 'house': 0.9045710759237409, 'minimal': 0.07823555725381563, 'synthPop': 0.009090721551298262, 'techHouse': 0.6506226255166295, 'techno': 0.1179402903040969, 'trance': 0.008489872908907464}",,"['deepHouse', 'house', 'techHouse']","{'value': 126, 'confidence': 0.9715965121400123}",126,"{'value': 'bMinor', 'confidence': 0.5331303140391475}"
5,9531128,Janeret - Feelin - Up The Stuss.mp3,0.3117930651,medium,low,late 2000s / contemporary,"{'aggressive': 0.11944752931594849, 'calm': 0.08424870669841766, 'chilled': 0.40611332654953003, 'dark': 0.39636707305908203, 'energetic': 0.39604178071022034, 'epic': 0.048578329384326935, 'happy': 0.18015937507152557, 'romantic': 0.10848456621170044, 'sad': 0.22902753949165344, 'scary': 0.16646651923656464, 'sexy': 0.47429463267326355, 'ethereal': 0.37064796686172485, 'uplifting': 0.4066266119480133}",['ambiguous'],"{'ambient': 0.04854990929365158, 'blues': 0.00677765816450119, 'classical': 0.009466871060431004, 'electronicDance': 0.8859652853012085, 'folkCountry': 0.004933388084173203, 'funkSoul': 0.020235622003674507, 'jazz': 0.010832015797495842, 'latin': 0.01104185976088047, 'metal': 0.007858719602227211, 'pop': 0.04030440419912338, 'rapHipHop': 0.016382495388388634, 'reggae': 0.008860914334654808, 'rnb': 0.013491944596171378, 'rock': 0.029604880288243294, 'singerSongwriter': 0.0054172990284860134}",['electronicDance'],"{'abstractIDMLeftfield': 0.016866389342767157, 'breakbeatDnB': 0.01666069510886728, 'deepHouse': 0.7120107369440974, 'electro': 0.04271524818261352, 'house': 0.9436060759154233, 'minimal': 0.07812203387165385, 'synthPop': 0.008687278529219893, 'techHouse': 0.6923659951849417, 'techno': 0.05642485838722099, 'trance': 0.009465251108684408}",,"['deepHouse', 'house', 'techHouse']","{'value': 126, 'confidence': 0.9559665455537684}",126,"{'value': 'fsMinor', 'confidence': 0.4942526195360266}"
6,9531129,KEEPIN_ SOUL - HOUSE FOR BREAKFAST.mp3,0.6461027788,high,low,mid / late 2000s,"{'aggressive': 0.08644303679466248, 'calm': 0.023295976221561432, 'chilled': 0.3027588129043579, 'dark': 0.05308244004845619, 'energetic': 0.6996679902076721, 'epic': 0.060769811272621155, 'happy': 0.5394445061683655, 'romantic': 0.10255234688520432, 'sad': 0.09178802371025085, 'scary': 0.021604962646961212, 'sexy': 0.6119076609611511, 'ethereal': 0.23878264427185059, 'uplifting': 0.8214036822319031}","['energetic', 'happy', 'sexy', 'uplifting']","{'ambient': 0.04260102490132505, 'blues': 0.008259249956939708, 'classical': 0.009041918695650318, 'electronicDance': 0.8061471317302097, 'folkCountry': 0.00486192337914624, 'funkSoul': 0.08862699492072518, 'jazz': 0.016703189350664616, 'latin': 0.01456188533285802, 'metal': 0.00795370240865106, 'pop': 0.04875947805968198, 'rapHipHop': 0.01898450522937558, 'reggae': 0.009679054248739372, 'rnb': 0.02075087334114042, 'rock': 0.03091763967478817, 'singerSongwriter': 0.005296043257906355}",['electronicDance'],"{'abstractIDMLeftfield': 0.0226853977294703, 'breakbeatDnB': 0.038820674901844224, 'deepHouse': 0.5503569655120373, 'electro': 0.13093187528309122, 'house': 0.8562317079511182, 'minimal': 0.12576858501014268, 'synthPop': 0.017640554392308896, 'techHouse': 0.5135953487539343, 'techno': 0.1202883659701409, 'trance': 0.01615829588765086}",,"['deepHouse', 'house', 'techHouse']","{'value': 127, 'confidence': 0.832943665747549}",127,"{'value': 'gsMinor', 'confidence': 0.7903068583944569}"
7,9531130,Jordan Peak - S.O.O.N. (Mike Huckaby Remix).mp3,0.562586627,high,low,contemporary,"{'aggressive': 0.13093696534633636, 'calm': 0.0326741486787796, 'chilled': 0.30381980538368225, 'dark': 0.26704511046409607, 'energetic': 0.595260739326477, 'epic': 0.05981920287013054, 'happy': 0.2885743975639343, 'romantic': 0.08370703458786011, 'sad': 0.17829400300979614, 'scary': 0.1089739128947258, 'sexy': 0.49928009510040283, 'ethereal': 0.3961101174354553, 'uplifting': 0.5958713889122009}","['energetic', 'uplifting']","{'ambient': 0.04953917980194092, 'blues': 0.0067619140818715095, 'classical': 0.009517028331756591, 'electronicDance': 0.8866477942466736, 'folkCountry': 0.004969141818583012, 'funkSoul': 0.020222361534833908, 'jazz': 0.01088152326643467, 'latin': 0.011073625423014164, 'metal': 0.007871621288359165, 'pop': 0.04051262930035591, 'rapHipHop': 0.016387932524085044, 'reggae': 0.008856272920966149, 'rnb': 0.013494848534464835, 'rock': 0.02967939741909504, 'singerSongwriter': 0.005456306040287018}",['electronicDance'],"{'abstractIDMLeftfield': 0.007552791868259472, 'breakbeatDnB': 0.0065597024916048, 'deepHouse': 0.8588835664261553, 'electro': 0.010271629397372218, 'house': 0.9607899430999183, 'minimal': 0.040318119885834086, 'synthPop': 0.003775415718651734, 'techHouse': 0.4493387184645, 'techno': 0.03330146872851634, 'trance': 0.0008878461862638544}",,"['deepHouse', 'house']","{'value': 122, 'confidence': 0.9543706557329963}",122,"{'value': 'gsMinor', 'confidence': 0.8818295520284901}"
8,9531238,10744244_E_SAMBA_2018_Original_Mix.mp3,0.8212369706,high,low,late 2000s / contemporary,"{'aggressive': 0.31790363788604736, 'calm': 0.011900455690920353, 'chilled': 0.11888071149587631, 'dark': 0.1446174532175064, 'energetic': 0.8404793739318848, 'epic': 0.29521626234054565, 'happy': 0.29455339908599854, 'romantic': 0.05778820067644119, 'sad': 0.13332954049110413, 'scary': 0.09523850679397583, 'sexy': 0.3200773000717163, 'ethereal': 0.20625314116477966, 'uplifting': 0.7271125912666321}","['energetic', 'uplifting']","{'ambient': 0.051463331878185276, 'blues': 0.006710814684629441, 'classical': 0.009819837994873524, 'electronicDance': 0.8824464964866638, 'folkCountry': 0.004965482465922833, 'funkSoul': 0.020127076581120493, 'jazz': 0.011669941805303096, 'latin': 0.011829049810767173, 'metal': 0.008667495660483837, 'pop': 0.041249072402715685, 'rapHipHop': 0.016884697899222374, 'reggae': 0.00903866320848465, 'rnb': 0.013432956784963607, 'rock': 0.030462136641144753, 'singerSongwriter': 0.005506885629147291}",['electronicDance'],"{'abstractIDMLeftfield': 0.04576191248891589, 'breakbeatDnB': 0.03618030072046587, 'deepHouse': 0.23707865167122621, 'electro': 0.08302289231393772, 'house': 0.7768587935429353, 'minimal': 0.1433825890891827, 'synthPop': 0.009809081371909438, 'techHouse': 0.652721440878052, 'techno': 0.17365405212801235, 'trance': 0.026051724289740938}",,"['house', 'techHouse']","{'value': 125, 'confidence': 0.9434029971852022}",125,"{'value': 'fMinor', 'confidence': 0.7501297619031824}"
9,9531132,Lady Italia.mp3,0.621634618,high,low,mid / late 1990s,"{'aggressive': 0.06041225418448448, 'calm': 0.02708442136645317, 'chilled': 0.33331143856048584, 'dark': 0.03811686113476753, 'energetic': 0.7100949287414551, 'epic': 0.10489320755004883, 'happy': 0.698173463344574, 'romantic': 0.13986192643642426, 'sad': 0.10853836685419083, 'scary': 0.015657715499401093, 'sexy': 0.534788966178894, 'ethereal': 0.2869955897331238, 'uplifting': 0.8120847940444946}","['energetic', 'happy', 'sexy', 'uplifting']","{'ambient': 0.03295259358470931, 'blues': 0.009784432182855466, 'classical': 0.007967177011510906, 'electronicDance': 0.7123126497163492, 'folkCountry': 0.00496786816374344, 'funkSoul': 0.16422462978345506, 'jazz': 0.021501666154055035, 'latin': 0.0219623920343378, 'metal': 0.007309509304297321, 'pop': 0.06595337084111046, 'rapHipHop': 0.019275818841860574, 'reggae': 0.011486714979743256, 'rnb': 0.026644131826127276, 'rock': 0.03429681533838019, 'singerSongwriter': 0.005101565682493588}",['electronicDance'],"{'abstractIDMLeftfield': 0.04299122554635609, 'breakbeatDnB': 0.0601088881232245, 'deepHouse': 0.42647316114556405, 'electro': 0.10186330428326963, 'house': 0.6614322780921895, 'minimal': 0.04333865776237461, 'synthPop': 0.06743475939247316, 'techHouse': 0.2756696288143435, 'techno': 0.17717929877420907, 'trance': 0.054912129503434465}",,['house'],"{'value': 127, 'confidence': 0.9144175211588542}",127,"{'value': 'gMinor', 'confidence': 0.6771797719209091}"
